assists,bonus,clean_sheets,goals_conceded,goals_scored,minutes,opponent_team,own_goals,penalties_missed,penalties_saved,red_cards,round,saves,total_points,yellow_cards,player_name_id_x,position,date,shots,xG,xA,key_passes,npg,npxG,xGChain,xGBuildup,team_name,conceded,h_a,xG_team,xGA,npxG_team,npxGA,scored,missed,pts,npxGD,conceded_team,rolling_team_pts,diff_team_xG,diff_team_xGA,diff_team_scored,diff_team_missed,diff_team_conceded,diff_team_pts,attack_overall,defence_overall,attack_difficulty,defence_difficulty,opposition_attack_difficulty,opposition_defence_difficulty
0.0,0.0,0.0,3.0,0.0,90.0,Brighton,0.0,0.0,0.0,0.0,38,0.0,1.0,0.0,Aaron_Cresswell_411,def,2022-05-22,2.0,0.0734360888600349,0.0,0.0,0.0,0.0734360888600349,0.167638897895813,0.1174677386879921,West Ham,3.0,a,0.268845,1.67774,0.268845,1.67774,1.0,3.0,0.0,-1.408895,3.0,0.8,-0.5045809999999997,-0.04072600000000026,0.0,0.40000000000000013,0.40000000000000013,-0.19999999999999996,1.0755072,3.1836148,3,3,5.0,4.0
0.0,0.0,0.0,1.0,0.0,27.0,Leeds,0.0,0.0,0.0,0.0,3,0.0,0.0,1.0,Aaron_Lennon_575,mid,2021-08-29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,1.0,h,1.71102,1.52078,1.71102,1.52078,1.0,1.0,1.0,0.1902399999999999,1.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,14.0,Everton,0.0,0.0,0.0,0.0,4,0.0,1.0,0.0,Aaron_Lennon_575,mid,2021-09-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,3.0,a,1.82061,1.80386,1.82061,1.80386,1.0,3.0,0.0,0.01675,3.0,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,3.0,Leicester,0.0,0.0,0.0,0.0,6,0.0,1.0,0.0,Aaron_Lennon_575,mid,2021-09-25,1.0,0.0063389483839273,0.0,0.0,0.0,0.0063389483839273,0.0063389483839273,0.0,Burnley,2.0,a,0.428866,2.16233,0.428866,2.16233,2.0,2.0,1.0,-1.733464,2.0,0.4,-0.27332279999999987,0.09540599999999988,0.20000000000000007,0.0,0.0,0.2,0.08530680000000013,3.64514,1,2,2.0,2.0
0.0,0.0,0.0,0.0,0.0,59.0,Norwich,0.0,0.0,0.0,0.0,7,0.0,1.0,0.0,Aaron_Lennon_575,mid,2021-10-02,1.0,0.0757680833339691,0.0,0.0,0.0,0.0757680833339691,0.0757680833339691,0.0,Burnley,0.0,h,0.584725,0.673617,0.584725,0.673617,0.0,0.0,1.0,-0.0888919999999999,0.0,0.6,-0.02114780000000005,-0.39316660000000003,0.0,-0.40000000000000013,-0.40000000000000013,0.19999999999999996,0.4641590000000002,2.8519734,1,2,1.0,1.0
0.0,0.0,0.0,0.0,0.0,5.0,Wolverhampton Wanderers,0.0,0.0,0.0,0.0,14,0.0,1.0,0.0,Aaron_Lennon_575,mid,2021-12-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,0.0,a,0.195537,0.711691,0.195537,0.711691,0.0,0.0,1.0,-0.516154,0.0,1.4,-0.1763306,-0.28908579999999984,0.0,-0.40000000000000013,-0.40000000000000013,0.19999999999999996,1.4628108000000002,2.9451826,4,2,2.0,5.0
0.0,0.0,0.0,0.0,0.0,2.0,West Ham,0.0,0.0,0.0,0.0,16,0.0,1.0,0.0,Aaron_Lennon_575,mid,2021-12-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,0.0,h,0.54801,0.998813,0.54801,0.998813,0.0,0.0,1.0,-0.4508029999999999,0.0,0.8,-0.4361999999999999,0.03290020000000027,-0.5999999999999999,-0.19999999999999996,-0.19999999999999996,-0.3999999999999999,0.4128916,2.6341668,2,4,2.0,3.0
0.0,0.0,0.0,3.0,1.0,73.0,Manchester United,0.0,0.0,0.0,0.0,20,0.0,7.0,0.0,Aaron_Lennon_575,mid,2021-12-30,2.0,0.1502096801996231,0.0,0.0,1.0,0.1502096801996231,0.1502096801996231,0.0,Burnley,3.0,a,0.871738,1.80776,0.871738,1.80776,1.0,3.0,0.0,-0.936022,3.0,0.6,0.039533200000000046,-0.23961800000000033,0.0,0.3999999999999999,0.3999999999999999,-0.20000000000000007,0.05242480000000027,2.7945488,1,3,4.0,4.0
0.0,0.0,0.0,2.0,0.0,79.0,Leeds,0.0,0.0,0.0,0.0,21,0.0,2.0,0.0,Aaron_Lennon_575,mid,2022-01-02,0.0,0.0,0.0,0.0,0.0,0.0,0.0146624473854899,0.0146624473854899,Burnley,3.0,a,0.960493,2.04186,0.960493,2.04186,1.0,3.0,0.0,-1.0813669999999995,3.0,0.4,-0.01634940000000007,0.058694000000000024,-0.4,0.0,0.0,-0.19999999999999996,-0.3639245999999998,2.8532428,1,3,1.0,1.0
0.0,0.0,1.0,0.0,0.0,90.0,Arsenal,0.0,0.0,0.0,0.0,23,0.0,3.0,0.0,Aaron_Lennon_575,mid,2022-01-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Burnley,0.0,a,0.388963,1.35507,0.388963,1.35507,0.0,0.0,1.0,-0.966107,0.0,0.4,0.038685200000000086,0.1286757999999999,0.0,0.0,0.0,0.0,-0.32523939999999985,2.9819185999999998,1,3,5.0,5.0
